xs,tl,vl,ta,va
1,0.15558545291423798,0.18495546281337738,36.6242359,54.92825607294524
2,0.13932041823863983,0.12395673245191574,35.01717666,28.67774206289977
3,0.141530379652977,0.12741941213607788,19.72320658,38.30405821167179
4,0.13854549825191498,0.12008490413427353,25.2402352,33.081124710762666
5,0.1359887272119522,0.11818961054086685,25.59588936,27.551619601248547
6,0.13603372871875763,0.12279752641916275,29.11332879,32.5740756189281
7,0.1334054321050644,0.11566086113452911,14.51094491,20.4196563748052
8,0.12651664018630981,0.11438429355621338,13.47233167,5.6922112033297445
9,0.12191812694072723,0.11342916637659073,12.30040018,15.313316100730985
10,0.11583900451660156,0.11259753257036209,11.58143757,4.860399794554018
11,0.10890520364046097,0.11005283892154694,11.38937909,5.051146945340637
12,0.10254291445016861,0.10909388214349747,13.67007866,4.942514296049152
13,0.09602104872465134,0.11238408088684082,11.10450555,4.825092498731285
14,0.08884128928184509,0.1281532496213913,10.6760153,5.260561541623865
15,0.08596834540367126,0.12351232022047043,9.30183953,5.251868030547276
16,0.07840901613235474,0.13018912076950073,10.8294673,5.289536153506272
17,0.07548224925994873,0.1340252012014389,10.7283651,5.153265444673215
18,0.07267357409000397,0.14015139639377594,9.0498379,5.162918504625939
19,0.06904824078083038,0.141336590051651,9.3980178,4.635825663911759
20,0.06611808389425278,0.1420595943927765,9.2561782,4.702817324673258
