xs,ys,zs
0,0,1.3771918302145025
10,0,1.383013692271735
20,0,1.3771973133280586
30,0,1.3599194997874395
40,0,1.3317052986886604
50,0,1.2934120444167325
60,0,1.246203309031441
70,0,1.1915135477191028
80,0,1.1310045135976001
90,0,1.066514766188782
100,0,1.0000038077177473
110,0,0.933492544629293
120,0,0.8690018833682153
130,0,0.8084913261596138
140,0,0.7537994325253371
150,0,0.7065879555832675
160,0,0.668291350519722
170,0,0.6400731893944855
180,0,0.6227908065925697
190,0,0.616969249152757
200,0,0.6227853234790135
210,0,0.6400622231673732
220,0,0.6682749011790534
230,0,0.7065660231290427
240,0,0.7537720169575561
250,0,0.8084584274782769
260,0,0.8689635015733221
270,0,0.9334486797208437
280,0,0.9999544596957418
290,0,1.0664599350532205
300,0,1.1309441993484826
310,0,1.191447750356429
320,0,1.2461320285552109
330,0,1.2933352808269463
340,0,1.3316230519853178
350,0,1.359831769970541
0,10,1.3164983168481135
10,10,1.3213839047771265
20,10,1.3165037999616696
30,10,1.3020063605901004
40,10,1.2783321534390117
50,10,1.246200567474663
60,10,1.2065879555832675
70,10,1.160697968582604
80,10,1.1099249829009958
90,10,1.0558117331551231
100,10,1.0000024369393583
110,10,0.9441928361061735
120,10,0.8900786725080416
130,10,0.8393041637393345
140,10,0.7934120444167326
150,10,0.753796690968559
160,10,0.7216617542125925
170,10,0.6979835870350467
180,10,0.6834815784021806
190,10,0.6785962950905873
200,10,0.6834760952886245
210,10,0.6979726208079344
220,10,0.721645304871924
230,10,0.7537747585143343
240,10,0.7933846288489518
250,10,0.8392712650579974
260,10,0.8900402907131485
270,10,0.9441489711977243
280,10,0.9999530889173528
290,10,1.0557569020195616
300,10,1.109864668651878
310,10,1.1606321712199301
320,10,1.2065166751070373
330,10,1.2461238038848768
340,10,1.2782499067356694
350,10,1.3019186307732018
0,20,1.2461880781604517
10,20,1.2499890337728876
20,20,1.2461935612740078
30,20,1.2349170628480812
40,20,1.2165022386109425
50,20,1.1915086738403862
60,20,1.1606958362606656
70,20,1.125
80,20,1.0855057973749667
90,20,1.0434132628864117
100,20,1.000001370778389
110,20,0.9565891740529465
120,20,0.9144957257121323
130,20,0.875
140,20,0.839302031417396
150,20,0.8084864522808972
160,20,0.7834895367187232
170,20,0.7650707524551272
180,20,0.7537896847679039
190,20,0.7499890337728876
200,20,0.7537842016543477
210,20,0.7650597862280148
220,20,0.7834730873780548
230,20,0.8084645198266726
240,20,0.8392746158496152
250,20,0.8749671013186631
260,20,0.9144573439172391
270,20,0.9565453091444973
280,20,0.9999520227563835
290,20,1.0433584317508502
300,20,1.0854454831258489
310,20,1.1249342026373261
320,20,1.1606245557844355
330,20,1.1914319102506
340,20,1.2164199919076
350,20,1.2348293330311828
0,30,1.168397422780583
10,30,1.1709983438921725
20,30,1.168402905894139
30,30,1.1606900485296896
40,30,1.1480941924842953
50,30,1.1309981166317846
60,30,1.1099213274919584
70,30,1.0855042742878678
80,30,1.0584888892202555
90,30,1.029696044233072
100,30,1.0000006092348395
110,30,0.9703048696191874
120,30,0.9415111107797445
130,30,0.9144942026250333
140,30,0.8900750170990042
150,30,0.8689954864023998
160,30,0.8518960597582715
170,30,0.83929624368642
180,30,0.8315788170606738
190,30,0.8289782005665038
200,30,0.8315733339471176
210,30,0.8392852774593076
220,30,0.851879610417603
230,30,0.8689735539481751
240,30,0.8900476015312233
250,30,0.9144613039436964
260,30,0.9414727289848513
270,30,0.9702610047107381
280,30,0.9999512612128341
290,30,1.0296412130975106
300,30,1.0584285749711377
310,30,1.085438476925194
320,30,1.1098500470157282
330,30,1.1309213530419984
340,30,1.1480119457809528
350,30,1.160602318712791
0,40,1.0854899572691377
10,40,1.0868119041366737
20,40,1.085495440382694
30,40,1.0815806447651926
40,40,1.0751865357853714
50,40,1.066507455370707
60,40,1.0558071638938265
70,40,1.0434108259470534
80,40,1.0296951303808126
90,40,1.015076844803523
100,40,1.0000001523087099
110,40,0.9849231551964771
120,40,0.970303955766928
130,40,0.9565867371135883
140,40,0.9441882668448768
150,40,0.9334852338112181
160,40,0.9248028026049361
170,40,0.9184047335986577
180,40,0.9144853687198595
190,40,0.9131637264697434
200,40,0.9144798856063034
210,40,0.9183937673715454
220,40,0.9247863532642676
230,40,0.9334633013569934
240,40,0.9441608512770959
250,40,0.9565538384322513
260,40,0.9702655739720348
270,40,0.9848792902880278
280,40,0.9999508042867045
290,40,1.0150220136679613
300,40,1.0296348161316948
310,40,1.0433450285843795
320,40,1.0557358834175963
330,40,1.0664306917809208
340,40,1.075104289082029
350,40,1.081492914948294
0,50,0.9999847691290107
10,50,0.9999876629944986
20,50,0.9999902522425669
30,50,0.9999925368732152
40,50,0.9999945168864438
50,50,0.9999961922822527
60,50,0.9999975630606417
70,50,0.999998629221611
80,50,0.9999993907651604
90,50,0.9999998476912901
100,50,1.0
110,50,0.9999998476912901
120,50,0.9999993907651604
130,50,0.999998629221611
140,50,0.9999975630606417
150,50,0.9999961922822527
160,50,0.9999945168864438
170,50,0.9999925368732152
180,50,0.9999902522425669
190,50,0.9999876629944986
200,50,0.9999847691290107
210,50,0.9999815706461029
220,50,0.9999780675457753
230,50,0.999974259828028
240,50,0.999970147492861
250,50,0.999965730540274
260,50,0.9999610089702673
270,50,0.9999559827828408
280,50,0.9999506519779946
290,50,0.9999450165557285
300,50,0.9999390765160426
310,50,0.999932831858937
320,50,0.9999262825844116
330,50,0.9999194286924664
340,50,0.9999122701831015
350,50,0.9999048070563167
0,60,0.9144798856063034
10,60,0.9131637264697434
20,60,0.9144853687198595
30,60,0.9184047335986577
40,60,0.9248028026049361
50,60,0.9334852338112181
60,60,0.9441882668448768
70,60,0.9565867371135883
80,60,0.970303955766928
90,60,0.9849231551964771
100,60,1.0000001523087099
110,60,1.015076844803523
120,60,1.0296951303808126
130,60,1.0434108259470534
140,60,1.0558071638938265
150,60,1.066507455370707
160,60,1.0751865357853714
170,60,1.0815806447651926
180,60,1.085495440382694
190,60,1.0868119041366737
200,60,1.0854899572691377
210,60,1.0815696785380802
220,60,1.075170086444703
230,60,1.0664855229164825
240,60,1.0557797483260456
250,60,1.0433779272657164
260,60,1.0296567485859196
270,60,1.0150329798950737
280,60,0.9999508042867045
290,60,0.9848683240609155
300,60,0.9702436415178102
310,60,0.9565209397509143
320,60,0.9441169863686467
330,60,0.9334084702214318
340,60,0.9247205559015937
350,60,0.9183170037817592
0,70,0.8315733339471176
10,70,0.8289782005665038
20,70,0.8315788170606738
30,70,0.83929624368642
40,70,0.8518960597582715
50,70,0.8689954864023998
60,70,0.8900750170990042
70,70,0.9144942026250333
80,70,0.9415111107797445
90,70,0.9703048696191874
100,70,1.0000006092348395
110,70,1.029696044233072
120,70,1.0584888892202555
130,70,1.0855042742878678
140,70,1.1099213274919584
150,70,1.1309981166317846
160,70,1.1480941924842953
